Group number,Relative Separation [kpc],Relative Velocity [km/s],Pair Type
7260.0,245.4382916059395,64.83426798333889,Minor
7295.0,183.7196595131071,67.31990482697036,Minor
7322.0,224.5554259617355,62.89141349142061,Minor
7340.0,57.10000090200033,30.03299487336767,Minor
7352.0,66.96369926899321,45.89736667933891,Minor
7417.0,96.15233579027769,67.58055343833054,Minor
7425.0,230.07326733629867,62.97660575592474,Minor
7458.0,231.19184548924352,53.31506506887119,Minor
7471.0,205.04103555707937,54.83773686217736,Minor
7505.0,199.1115344045041,825.8293191326022,Minor
7507.0,277.76466504034846,72.93801284226375,Minor
7528.0,117.45485858614965,33.79771557075304,Minor
7535.0,158.12199943708842,74.04710016623702,Minor
7550.0,78.52130830812646,103.22933089854895,Minor
7554.0,118.3993414387783,87.76493811969196,Minor
7595.0,152.58604222877884,134.05933538764216,Minor
7638.0,187.63593075718617,70.41311399765955,Minor
7639.0,97.75156558786296,104.4768576185309,Minor
7654.0,212.42470827678216,64.49901042374947,Minor
7658.0,53.28522326154368,81.21851933881831,Minor
7699.0,174.2434933415995,43.13989452313773,Minor
